,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,66.69,73,86,7.83,US,1600376400
1,Villarrica,-25.75,-56.4333,79.32,57,44,1.25,PY,1600376400
2,Bambous Virieux,-20.3428,57.7575,70.74,72,47,13.4,MU,1600376400
3,Shimoda,34.6667,138.95,79.59,90,89,17.98,JP,1600376400
4,Barrow,71.2906,-156.7887,45.41,83,60,7.63,US,1600376400
5,Shiyan,32.6475,110.7781,60.37,60,0,4.0,CN,1600376400
6,San Patricio,19.2167,-104.7,87.91,66,25,6.49,MX,1600376400
7,Atuona,-9.8,-139.0333,77.47,78,33,22.64,PF,1600376400
8,Talaya,61.3833,152.75,36.66,89,28,3.27,RU,1600376400
9,Bredasdorp,-34.5322,20.0403,51.78,85,36,2.82,ZA,1600376400
10,Punta Arenas,-53.15,-70.9167,39.34,63,75,27.29,CL,1600376400
11,Bauchi,10.5,10.0,74.89,83,74,3.06,NG,1600376400
12,Jamestown,42.097,-79.2353,64.74,73,56,8.57,US,1600376400
13,Avarua,-21.2078,-159.775,71.42,73,88,21.0,CK,1600376400
14,Bluff,-46.6,168.3333,46.53,82,73,31.83,NZ,1600376400
15,Rikitea,-23.1203,-134.9692,71.89,82,98,22.64,PF,1600376400
16,Norman Wells,65.282,-126.8329,57.31,59,34,9.22,CA,1600376400
17,Jinxi,30.4323,116.2922,62.89,94,100,1.45,CN,1600376400
18,Makakilo City,21.3469,-158.0858,80.87,63,1,15.73,US,1600376400
19,Lorengau,-2.0226,147.2712,82.22,78,85,9.06,PG,1600376400
20,Māngrol,21.1167,70.1167,81.43,82,89,8.79,IN,1600376400
21,Tautira,-17.7333,-149.15,79.34,76,26,16.37,PF,1600376400
22,Busselton,-33.65,115.3333,47.26,66,8,10.74,AU,1600376400
23,Seoul,37.5683,126.9778,68.4,65,87,6.69,KR,1600376400
24,Nago,26.5881,127.9761,81.57,87,34,7.65,JP,1600376400
25,Arraial do Cabo,-22.9661,-42.0278,78.69,69,0,22.08,BR,1600376400
26,Broken Hill,-31.95,141.4333,65.37,64,87,12.08,AU,1600376400
27,Poum,-20.2333,164.0167,71.82,76,7,8.46,NC,1600376400
28,Tuktoyaktuk,69.4541,-133.0374,43.95,87,38,2.66,CA,1600376400
29,Saskylakh,71.9167,114.0833,46.96,81,1,9.01,RU,1600376400
30,Vaini,-21.2,-175.2,71.76,87,85,24.11,TO,1600376400
31,Yellowknife,62.456,-114.3525,47.82,62,38,13.29,CA,1600376400
32,Binabalian Ricor,16.4202,119.9279,83.01,76,40,18.01,PH,1600376400
33,Avera,33.194,-82.5271,75.9,92,90,9.44,US,1600376400
34,Goba,7.0167,39.9833,53.76,76,64,4.07,ET,1600376400
35,Ushuaia,-54.8,-68.3,34.81,73,68,9.62,AR,1600376400
36,Colares,38.7992,-9.4469,67.03,84,55,15.12,PT,1600376400
37,São Filipe,14.8961,-24.4956,81.23,82,63,6.91,CV,1600376400
